открытие 14.09.2018;максимум 14.09.2018;минимум 14.09.2018;закрытие 14.09.2018;открытие 16.10.2018;максимум 16.10.2018;минимум 16.10.2018;закрытие 16.10.2018;открытие 14.11.2018;максимум 14.11.2018;минимум 14.11.2018;закрытие 14.11.2018;открытие 14.12.2018;максимум 14.12.2018;минимум 14.12.2018;закрытие 14.12.2018
107710;107720;107680;107710;114700;114720;114560;114610;109350;109420;109300;109320;111420;111520;111400;111510
107720;107720;107660;107670;114610;114670;114590;114630;109330;109360;109080;109110;111520;111620;111500;111610
107670;107710;107670;107710;114630;114670;114610;114630;109120;109220;109100;109190;111620;111730;111620;111660
107670;107670;107670;107670;114640;114670;114600;114640;109190;109290;109160;109280;111660;111700;111600;111650
107670;107670;107660;107660;114650;114650;114590;114650;109270;109400;109270;109350;111650;111680;111600;111660
107630;107670;107630;107660;114650;114750;114630;114750;109340;109360;109270;109340;111670;111700;111610;111620
107660;107680;107660;107680;114750;114860;114750;114830;109340;109360;109170;109190;111630;111700;111620;111690
107710;107710;107680;107680;114830;115040;114830;114880;109180;109270;109160;109270;111680;111720;111650;111680
107640;107640;107570;107570;114890;114920;114850;114880;109270;109390;109190;109360;111680;111680;111560;111600
107570;107600;107530;107530;114850;114870;114790;114810;109350;109390;109320;109370;111600;111600;111450;111460
107530;107530;107460;107470;114800;114820;114750;114770;109360;109610;109330;109610;111460;111540;111440;111540
107450;107450;107420;107430;114760;114790;114710;114730;109600;109710;109530;109570;111540;111610;111510;111540
107460;107470;107410;107470;114730;114770;114700;114720;109570;109620;109530;109560;111530;111670;111510;111600
107430;107470;107430;107440;114710;114790;114710;114770;109560;109660;109560;109630;111610;111620;111490;111510
107440;107500;107440;107500;114780;114790;114730;114770;109620;109630;109530;109630;111500;111570;111470;111520
107490;107490;107330;107370;114780;114800;114710;114800;109620;109650;109520;109540;111510;111520;111420;111480
107380;107450;107370;107450;114790;114820;114780;114820;109550;109650;109520;109530;111480;111550;111450;111540
107430;107430;107400;107430;114820;114830;114780;114780;109540;109590;109530;109570;111540;111560;111440;111450
107400;107580;107400;107580;114780;114780;114660;114730;109570;109600;109490;109570;111450;111540;111430;111540
107580;107600;107520;107540;114710;114730;114670;114690;109560;109570;109350;109420;111540;111580;111480;111530
107540;107560;107520;107550;114680;114730;114670;114700;109430;109490;109380;109450;111520;111630;111510;111570
107560;107630;107560;107630;114710;114840;114700;114810;109460;109460;109390;109440;111560;111600;111550;111570
107630;107630;107560;107580;114800;114830;114770;114800;109440;109450;109400;109430;111570;111600;111530;111590
107580;107580;107580;107580;114790;114870;114760;114860;109430;109520;109400;109500;111590;111590;111530;111540
107560;107560;107560;107560;114870;114940;114830;114900;109500;109560;109440;109530;111540;111560;111510;111530
107500;107510;107470;107510;114920;114920;114850;114870;109530;109560;109460;109520;111540;111540;111480;111490
107490;107490;107420;107430;114850;114920;114850;114890;109520;109520;109450;109480;111490;111530;111470;111530
107420;107450;107370;107430;114880;114890;114850;114870;109480;109500;109410;109470;111530;111550;111470;111490
107430;107450;107400;107440;114880;114950;114880;114930;109460;109560;109430;109480;111480;111500;111400;111480
107430;107430;107350;107410;114930;114940;114880;114890;109470;109470;109340;109380;111460;111460;111410;111450
107390;107390;107360;107370;114890;114890;114820;114870;109380;109420;109200;109270;111450;111510;111430;111480
107330;107400;107310;107400;114870;114880;114810;114810;109270;109330;109250;109330;111480;111530;111480;111530
107410;107410;107410;107410;114820;114850;114730;114760;109330;109330;109260;109270;111520;111610;111520;111580
107430;107430;107410;107410;114750;114790;114720;114770;109270;109370;109250;109350;111570;111570;111490;111550
107340;107400;107300;107400;114780;114850;114780;114840;109350;109400;109320;109370;111560;111580;111510;111560
107400;107480;107400;107480;114860;114880;114830;114860;109370;109460;109370;109440;111580;111580;111530;111570
107460;107460;107430;107430;114850;114940;114850;114940;109430;109440;109370;109440;111570;111570;111460;111500
107450;107450;107400;107400;114940;114960;114910;114930;109440;109480;109390;109440;111500;111500;111450;111500
107400;107400;107400;107400;114930;114980;114900;114930;109450;109450;109360;109380;111500;111530;111460;111510
107400;107400;107350;107350;114940;114960;114910;114960;109380;109440;109360;109360;111520;111590;111500;111580
107360;107390;107320;107390;114950;114990;114910;114990;109350;109380;109320;109380;111590;111590;111530;111560
107340;107340;107340;107340;114970;115000;114890;114910;109380;109390;109290;109360;111580;111590;111530;111530
107400;107410;107390;107410;114930;114980;114910;114950;109350;109380;109290;109320;111540;111580;111510;111550
107380;107400;107300;107300;114950;114980;114890;114950;109320;109360;109210;109220;111550;111560;111490;111550
107310;107310;107190;107200;114950;114960;114920;114950;109220;109290;109160;109280;111550;111570;111520;111540
